L,J,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,GenePersisentTime
20.0,5.0,1000000.0,1000000.0,0.0,0.0,0.0001,0.0,0.0001,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,4.46683592150963e-06,4.46683592150963e-06,0.0,0.0,0.0,0.0,2288.0
20.0,5.0,1000000.0,1000000.0,1e-05,1e-05,0.0,0.0,0.0,0.0,2059.0
20.0,5.0,1000000.0,1000000.0,1.412537544622754e-05,1.412537544622754e-05,0.0,0.0,0.0,0.0,3063.0
20.0,5.0,1000000.0,1000000.0,5.62341325190349e-05,5.62341325190349e-05,0.0,0.0,0.0,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,4.46683592150963e-06,4.46683592150963e-06,0.0,0.0,0.0,0.0,2603.0
20.0,5.0,1000000.0,1000000.0,5.01187233627272e-06,5.01187233627272e-06,0.0,0.0,0.0,0.0,2703.0
20.0,5.0,1000000.0,1000000.0,1.995262314968879e-05,1.995262314968879e-05,0.0,0.0,0.0,0.0,5414.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,4.46683592150963e-06,4.46683592150963e-06,0.0,0.0,4126.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,0.0001,0.0001,0.0,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.54813389233575e-06,0.0,0.0,3.54813389233575e-06,5398.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,4.46683592150963e-06,0.0,0.0,4.46683592150963e-06,5498.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,5.62341325190349e-06,0.0,0.0,5.62341325190349e-06,4931.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,7.07945784384137e-06,0.0,0.0,7.07945784384137e-06,5869.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,8.91250938133745e-06,0.0,0.0,8.91250938133745e-06,6447.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,2.238721138568339e-05,0.0,0.0,2.238721138568339e-05,2914376.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.548133892335754e-05,0.0,0.0,3.548133892335754e-05,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,4.466835921509631e-05,0.0,0.0,4.466835921509631e-05,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,5.011872336272722e-05,0.0,0.0,5.011872336272722e-05,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,7.943282347242815e-05,0.0,0.0,7.943282347242815e-05,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,5.01187233627272e-06,0.0,5.01187233627272e-06,0.0,6728.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,5.62341325190349e-06,0.0,5.62341325190349e-06,0.0,5620.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,7.94328234724281e-06,0.0,7.94328234724281e-06,0.0,8298.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1e-05,0.0,1e-05,0.0,44229.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.258925411794167e-05,0.0,1.258925411794167e-05,0.0,587038.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.778279410038922e-05,0.0,1.778279410038922e-05,0.0,3719643.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,2.238721138568339e-05,0.0,2.238721138568339e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,2.818382931264453e-05,0.0,2.818382931264453e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,5.011872336272722e-05,0.0,5.011872336272722e-05,0.0,10000000.0
