L,d,J,Jprop,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,GenePersisentTime,mean_establish_size,persTimeHost,persTimePhage,gapTimeHost,gapTimePhage,theta_GH,theta_GP,theta_gH,theta_gP,theta_GH_rel,theta_GP_rel,theta_gH_rel,theta_gP_rel
30.0,2.0,1.0,1.0,1.0e7,1.0e7,0.0,0.0,3.6e-6,0.0,3.6e-6,0.0,200000.0,148564.2726754948,6029.342225392296,6004.033034315819,3378.403650190114,3414.815725561627,130914.49778823277,135354.26039988935,127162.23852594491,131585.62771214993,4.68251225507748,4.892289654197349,0.19074209880607954,0.1973771413409196
30.0,2.0,1.0,1.0,1.0e7,1.0e7,0.0,0.0,4.2e-6,0.0,4.2e-6,0.0,200000.0,127192.9498063961,6476.328498912255,6407.626846407572,2936.3088235294117,2941.7269807280513,112936.83759606296,116035.82539756497,109370.7519490014,112640.37449280881,4.221085479161524,4.374209954472596,0.16405493094226586,0.16895946477401125
30.0,2.0,1.0,1.0,1.0e7,1.0e7,0.0,0.0,4.8e-6,0.0,4.8e-6,0.0,200000.0,110846.57042778358,6888.87994011976,6915.07795498584,2570.2650120096077,2591.973700988205,99464.4347249091,101899.11892281586,93063.84885051777,95620.16617303567,3.858332633180714,3.9834254996897123,0.13959514168851198,0.14342950622712447
30.0,2.0,1.0,1.0,1.0e7,1.0e7,0.0,0.0,5.4e-6,0.0,5.4e-6,0.0,200000.0,99907.7573699645,7526.2034370645615,7473.388331532644,2286.531540504648,2277.810059563203,90094.24487579835,92077.66055112904,85537.40512749161,88014.53670195595,3.581310060232727,3.68564395364235,0.12830557099044745,0.13202119443732527
30.0,2.0,1.0,1.0,1.0e7,1.0e7,0.0,0.0,6.0e-6,0.0,6.0e-6,0.0,200000.0,90008.52143426295,7782.721670934699,7785.292908366534,2050.1513848271115,2042.6602739726027,83122.34381353445,84807.27803070442,76787.93845154163,78366.1156228561,3.3676522318628357,3.455686538332193,0.11518147117133301,0.11754858915508422
30.0,2.0,1.0,1.0,1.0e7,1.0e7,0.0,0.0,6.6e-6,0.0,6.6e-6,0.0,200000.0,80632.12971739512,8386.010014054813,8467.391083026154,1812.7641688855078,1834.9063271898158,73538.62640813593,74872.15605101136,68513.90367856399,69984.57347346001,3.0330265723720564,3.1036500802861986,0.10277034656343556,0.10497641109502154
30.0,2.0,1.0,1.0,1.0e7,1.0e7,0.0,0.0,7.2e-6,0.0,7.2e-6,0.0,200000.0,76725.51205151794,8975.171381337252,8918.793008279668,1683.0556886227546,1664.2740903638544,69663.3196695147,70843.44157809405,65240.79210379371,66666.20301722348,2.8999444025797714,2.9635209577886106,0.09786064921502624,0.09999904594307218
30.0,2.0,1.0,1.0,1.0e7,1.0e7,0.0,0.0,7.8e-6,0.0,7.8e-6,0.0,200000.0,70637.6140420468,9809.472594637224,9771.950614835383,1514.3158689090126,1526.607336661602,64839.041791261116,65915.27063671497,58621.11721419978,59811.85191863849,2.7269471966829735,2.781631094082503,0.08793121358843187,0.0897175667335227
30.0,2.0,1.0,1.0,1.0e7,1.0e7,0.0,0.0,8.4e-6,0.0,8.4e-6,0.0,200000.0,67313.85127039868,10193.028625156707,10203.719892584177,1458.9655568312285,1435.3359782362277,62211.60993371535,63281.66674524381,57584.52958701026,59042.75026331311,2.628572397331804,2.6827181327812526,0.08637656065264718,0.08856393190702758
30.0,2.0,1.0,1.0,1.0e7,1.0e7,0.0,0.0,9.0e-6,0.0,9.0e-6,0.0,200000.0,63037.427050294515,10654.283734666062,10801.955822383326,1328.6930045294414,1338.309661229611,57686.766175943274,58509.2761733809,54412.52825667717,55620.407225614246,2.4530863262893767,2.494949407559206,0.08161849901090068,0.08343035388543661
